2022-05-02 18:01:45,197 - dash_client.py:506 - INFO - Downloading MPD file http://server/media/BigBuckBunny/4sec/BigBuckBunny_4s.mpd
2022-05-02 18:09:08,756 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1111342.80194, next_bitrate = 782553.0
2022-05-02 18:09:12,050 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1041831.36929, next_bitrate = 782553.0
2022-05-02 18:09:16,105 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 987257.818179, next_bitrate = 782553.0
2022-05-02 18:09:19,910 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 941020.217833, next_bitrate = 782553.0
2022-05-02 18:09:23,420 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 904819.231902, next_bitrate = 577751.0
2022-05-02 18:09:26,660 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 876555.220937, next_bitrate = 577751.0
2022-05-02 18:09:30,213 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 855018.965499, next_bitrate = 577751.0
2022-05-02 18:09:36,008 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 992522.547904, next_bitrate = 782553.0
2022-05-02 18:09:40,182 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 957768.882082, next_bitrate = 782553.0
2022-05-02 18:09:44,780 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 918198.599152, next_bitrate = 577751.0
2022-05-02 18:09:48,340 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 884826.999853, next_bitrate = 577751.0
2022-05-02 18:09:51,973 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 860181.246586, next_bitrate = 577751.0
2022-05-02 18:09:55,194 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 843323.528451, next_bitrate = 577751.0
2022-05-02 18:09:58,636 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 827993.312551, next_bitrate = 577751.0
2022-05-02 18:10:02,101 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 812222.832739, next_bitrate = 577751.0
2022-05-02 18:10:07,830 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 956777.705134, next_bitrate = 782553.0
2022-05-02 18:10:11,967 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 931220.049019, next_bitrate = 577751.0
2022-05-02 18:10:15,494 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 896225.046684, next_bitrate = 577751.0
2022-05-02 18:10:19,010 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 870284.577315, next_bitrate = 577751.0
